sheet,cell,column_role,old_value,new_value,reason
Table 1,D28,P-value (Before PSM),0.225,-,either cohort count ≤10 (min=10)
Table 1,E28,ASD (Before PSM),0.057,-,either cohort count ≤10 (min=10)
Table 1,B28,Cohort 1 count (Before PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,H28,P-value (After PSM),1,-,either cohort count ≤10 (min=10)
Table 1,I28,ASD (After PSM),<0.001,-,either cohort count ≤10 (min=10)
Table 1,F28,Cohort 1 count (After PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,G28,Cohort 2 count (After PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,D29,P-value (Before PSM),0.569,-,either cohort count ≤10 (min=0)
Table 1,E29,ASD (Before PSM),0.041,-,either cohort count ≤10 (min=0)
Table 1,B29,Cohort 1 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,H29,P-value (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,I29,ASD (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,F29,Cohort 1 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,G29,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,D30,P-value (Before PSM),0.042,-,either cohort count ≤10 (min=10)
Table 1,E30,ASD (Before PSM),0.089,-,either cohort count ≤10 (min=10)
Table 1,B30,Cohort 1 count (Before PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,H30,P-value (After PSM),1,-,either cohort count ≤10 (min=10)
Table 1,I30,ASD (After PSM),<0.001,-,either cohort count ≤10 (min=10)
Table 1,F30,Cohort 1 count (After PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,G30,Cohort 2 count (After PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,H31,P-value (After PSM),0.825,-,either cohort count ≤10 (min=10)
Table 1,I31,ASD (After PSM),0.016,-,either cohort count ≤10 (min=10)
Table 1,G31,Cohort 2 count (After PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,H33,P-value (After PSM),0.231,-,either cohort count ≤10 (min=10)
Table 1,I33,ASD (After PSM),0.088,-,either cohort count ≤10 (min=10)
Table 1,G33,Cohort 2 count (After PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,D34,P-value (Before PSM),0.465,-,either cohort count ≤10 (min=0)
Table 1,E34,ASD (Before PSM),0.053,-,either cohort count ≤10 (min=0)
Table 1,B34,Cohort 1 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,H34,P-value (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,I34,ASD (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,F34,Cohort 1 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,G34,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,D35,P-value (Before PSM),0.630,-,either cohort count ≤10 (min=0)
Table 1,E35,ASD (Before PSM),0.035,-,either cohort count ≤10 (min=0)
Table 1,B35,Cohort 1 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,C35,Cohort 2 count (Before PSM),0.1% (10),0.1% (≤10),count 10 ≤10
Table 1,H35,P-value (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,I35,ASD (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,F35,Cohort 1 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,G35,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,D36,P-value (Before PSM),0.507,-,either cohort count ≤10 (min=0)
Table 1,E36,ASD (Before PSM),0.048,-,either cohort count ≤10 (min=0)
Table 1,B36,Cohort 1 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,H36,P-value (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,I36,ASD (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,F36,Cohort 1 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,G36,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,D37,P-value (Before PSM),0.630,-,either cohort count ≤10 (min=0)
Table 1,E37,ASD (Before PSM),0.035,-,either cohort count ≤10 (min=0)
Table 1,B37,Cohort 1 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,C37,Cohort 2 count (Before PSM),0.1% (10),0.1% (≤10),count 10 ≤10
Table 1,H37,P-value (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,I37,ASD (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,F37,Cohort 1 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,G37,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,D38,P-value (Before PSM),<0.001,-,either cohort count ≤10 (min=10)
Table 1,E38,ASD (Before PSM),0.189,-,either cohort count ≤10 (min=10)
Table 1,B38,Cohort 1 count (Before PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,H38,P-value (After PSM),0.001,-,either cohort count ≤10 (min=0)
Table 1,I38,ASD (After PSM),0.235,-,either cohort count ≤10 (min=0)
Table 1,F38,Cohort 1 count (After PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,G38,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,D41,P-value (Before PSM),0.255,-,either cohort count ≤10 (min=10)
Table 1,E41,ASD (Before PSM),0.054,-,either cohort count ≤10 (min=10)
Table 1,B41,Cohort 1 count (Before PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,H41,P-value (After PSM),1,-,either cohort count ≤10 (min=10)
Table 1,I41,ASD (After PSM),<0.001,-,either cohort count ≤10 (min=10)
Table 1,F41,Cohort 1 count (After PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,G41,Cohort 2 count (After PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,D42,P-value (Before PSM),0.502,-,either cohort count ≤10 (min=10)
Table 1,E42,ASD (Before PSM),0.033,-,either cohort count ≤10 (min=10)
Table 1,B42,Cohort 1 count (Before PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,H42,P-value (After PSM),1,-,either cohort count ≤10 (min=10)
Table 1,I42,ASD (After PSM),<0.001,-,either cohort count ≤10 (min=10)
Table 1,F42,Cohort 1 count (After PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,G42,Cohort 2 count (After PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,D43,P-value (Before PSM),0.365,-,either cohort count ≤10 (min=10)
Table 1,E43,ASD (Before PSM),0.044,-,either cohort count ≤10 (min=10)
Table 1,B43,Cohort 1 count (Before PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,H43,P-value (After PSM),1,-,either cohort count ≤10 (min=10)
Table 1,I43,ASD (After PSM),<0.001,-,either cohort count ≤10 (min=10)
Table 1,F43,Cohort 1 count (After PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,G43,Cohort 2 count (After PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,D45,P-value (Before PSM),0.630,-,either cohort count ≤10 (min=0)
